description,funding,period,principal_investigator,title,url
"SOBRE EL IMSE

Introducción
Cómo llegar
Organización
Personal

Visitas al IMSE
El IMSE en los medios
Memoria 2020

Contacto",,,,"INICIO - SOBRE EL IMSE

Introducción
Cómo llegar
Organización
Personal

Visitas al IMSE
El IMSE en los medios
Memoria 2020

Contacto",http://www.imse-cnm.csic.es/index.php
"RECURSOS

Laboratorios
Herramientas CAD
Catálogo de Servicios Científico-Técnicos
Copias de respaldo",,,,"SOBRE EL IMSE - RECURSOS

Laboratorios
Herramientas CAD
Catálogo de Servicios Científico-Técnicos
Copias de respaldo",http://www.imse-cnm.csic.es/es/proyectos.php
"INVESTIGACIÓN

Áreas y Líneas de Investigación
Proyectos
Publicaciones del IMSE
Catálogo de ICs

Grupos de Investigación",,,,"RECURSOS - INVESTIGACIÓN

Áreas y Líneas de Investigación
Proyectos
Publicaciones del IMSE
Catálogo de ICs

Grupos de Investigación",http://www.imse-cnm.csic.es/es/proyectos.php
TRANSFERENCIA TECNOLÓGICA,,,,INVESTIGACIÓN - TRANSFERENCIA TECNOLÓGICA,http://www.imse-cnm.csic.es/es/proyectos.php
"EMPLEO Y FORMACIÓN

Formación en el IMSE
Empleo en el IMSE
Ofertas de Acogidas en el IMSE
Empleo en la Universidad de Sevilla
Empleo en el CSIC",,,,"TRANSFERENCIA TECNOLÓGICA - EMPLEO Y FORMACIÓN

Formación en el IMSE
Empleo en el IMSE
Ofertas de Acogidas en el IMSE
Empleo en la Universidad de Sevilla
Empleo en el CSIC",http://www2.imse-cnm.csic.es/transferencia/
Colaboración Internacional,,,,Unión Europea - Colaboración Internacional,http://www.imse-cnm.csic.es/es/proyectos/proyectos-europeos.php
"HIGHLOAWALLET

Técnicas cripto-biométricas y soluciones hardware para carteras de identidades auto-soberanas con alto nivel de seguridad
IP: 
				  Iluminada Baturone Castillo",,,"ELIXIR

Mejora de la percepción visual con una nueva generación de sensores infrarrojos de visión inteligentes
 
				  Juan A. Leñero Bardallo","Euphoric - HIGHLOAWALLET

Técnicas cripto-biométricas y soluciones hardware para carteras de identidades auto-soberanas con alto nivel de seguridad
IP: 
				  Iluminada Baturone Castillo",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=262
"ELIXIR

Mejora de la percepción visual con una nueva generación de sensores infrarrojos de visión inteligentes
IP: 
				  Juan A. Leñero Bardallo",,,"TIRELESS

Fiabilidad, seguridad y eficiencia energética en dispositivos y circuitos electrónicos para IoT edge
 
				  Francisco V. Fernández Fernández","HIGHLOAWALLET - ELIXIR

Mejora de la percepción visual con una nueva generación de sensores infrarrojos de visión inteligentes
IP: 
				  Juan A. Leñero Bardallo",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=261
"TIRELESS

Fiabilidad, seguridad y eficiencia energética en dispositivos y circuitos electrónicos para IoT edge
IP: 
				  Francisco V. Fernández Fernández",,,"SiP-SEXI

Systems in Package for Space Exploration Instrumentation
 
				  Diego Vázquez García de la Vega","ELIXIR - TIRELESS

Fiabilidad, seguridad y eficiencia energética en dispositivos y circuitos electrónicos para IoT edge
IP: 
				  Francisco V. Fernández Fernández",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=260
"SiP-SEXI

Systems in Package for Space Exploration Instrumentation
IP: 
				  Diego Vázquez García de la Vega",,,"RADIAN

Interfaces radiofrecuencia/digital gestionadas por redes neuronales artificiales
 
				  José M. de la Rosa Utrera","TIRELESS - SiP-SEXI

Systems in Package for Space Exploration Instrumentation
IP: 
				  Diego Vázquez García de la Vega",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=245
"RADIAN

Interfaces radiofrecuencia/digital gestionadas por redes neuronales artificiales
IP: 
				  José M. de la Rosa Utrera",,,"VIPS-ID

Identificación Segura, Distribuida, Privada y Verificable de Personas y Cosas
 
				  Iluminada Baturone Castillo","SiP-SEXI - RADIAN

Interfaces radiofrecuencia/digital gestionadas por redes neuronales artificiales
IP: 
				  José M. de la Rosa Utrera",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=244
"VIPS-ID

Identificación Segura, Distribuida, Privada y Verificable de Personas y Cosas
IP: 
				  Iluminada Baturone Castillo",,,"Hard-ID-wallet

Prueba de concepto de soluciones de seguridad hardware requeridas por la criptografía y biometría de carteras de identidades digitales
 
				  Iluminada Baturone Castillo","RADIAN - VIPS-ID

Identificación Segura, Distribuida, Privada y Verificable de Personas y Cosas
IP: 
				  Iluminada Baturone Castillo",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=243
"Hard-ID-wallet

Prueba de concepto de soluciones de seguridad hardware requeridas por la criptografía y biometría de carteras de identidades digitales
IP: 
				  Iluminada Baturone Castillo",,,"SEMIoTICS

Inteligencia embebida en sensores y sistemas de visión de bajo consumo y operación de largo término
 
				  Ricardo Carmona Galán / Jorge Fernández Berni","VIPS-ID - Hard-ID-wallet

Prueba de concepto de soluciones de seguridad hardware requeridas por la criptografía y biometría de carteras de identidades digitales
IP: 
				  Iluminada Baturone Castillo",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=242
"SEMIoTICS

Inteligencia embebida en sensores y sistemas de visión de bajo consumo y operación de largo término
IP: 
				  Ricardo Carmona Galán / Jorge Fernández Berni",,,"ASIC-IMTER

ASIC Prueba de concepto para medidas de impedancias térmicas en el dominio de la frecuencia
 
				  Servando Espejo Meana","Hard-ID-wallet - SEMIoTICS

Inteligencia embebida en sensores y sistemas de visión de bajo consumo y operación de largo término
IP: 
				  Ricardo Carmona Galán / Jorge Fernández Berni",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=247
"ASIC-IMTER

ASIC Prueba de concepto para medidas de impedancias térmicas en el dominio de la frecuencia
IP: 
				  Servando Espejo Meana",,,"FEMPS

Microelectrónica de Front-End para Sensores Planetarios
 
				  Servando Espejo Meana","SEMIoTICS - ASIC-IMTER

ASIC Prueba de concepto para medidas de impedancias térmicas en el dominio de la frecuencia
IP: 
				  Servando Espejo Meana",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=221
"FEMPS

Microelectrónica de Front-End para Sensores Planetarios
IP: 
				  Servando Espejo Meana",,,"ARES

Diseño, implementación y validación de raíces de confianza hardware resistentes a ataques para sistemas empotrados seguros
 
				  Carlos J. Jiménez Fernández / Piedad Brox Jiménez","ASIC-IMTER - FEMPS

Microelectrónica de Front-End para Sensores Planetarios
IP: 
				  Servando Espejo Meana",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=246
"ARES

Diseño, implementación y validación de raíces de confianza hardware resistentes a ataques para sistemas empotrados seguros
IP: 
				  Carlos J. Jiménez Fernández / Piedad Brox Jiménez",,,"SARATSO

Auto-optimización de la temporización asíncrona para convertidores de tipo SAR
 
				  Gildas Léger","FEMPS - ARES

Diseño, implementación y validación de raíces de confianza hardware resistentes a ataques para sistemas empotrados seguros
IP: 
				  Carlos J. Jiménez Fernández / Piedad Brox Jiménez",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=227
"SARATSO

Auto-optimización de la temporización asíncrona para convertidores de tipo SAR
IP: 
				  Gildas Léger",,,"DIGISOLAR F2

Nuevo sensor solar digital asíncrono para aplicaciones newspace con arquitectura basada en eventos, fase 2
 
				  Juan A. Leñero Bardallo","ARES - SARATSO

Auto-optimización de la temporización asíncrona para convertidores de tipo SAR
IP: 
				  Gildas Léger",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=211
"DIGISOLAR F2

Nuevo sensor solar digital asíncrono para aplicaciones newspace con arquitectura basada en eventos, fase 2
IP: 
				  Juan A. Leñero Bardallo",,,"AIR-CHIP

Chip digitalizador de radiofrecuencia gestionado por algoritmos de inteligencia artificial
 
				  José M. de la Rosa Utrera","SARATSO - DIGISOLAR F2

Nuevo sensor solar digital asíncrono para aplicaciones newspace con arquitectura basada en eventos, fase 2
IP: 
				  Juan A. Leñero Bardallo",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=250
"AIR-CHIP

Chip digitalizador de radiofrecuencia gestionado por algoritmos de inteligencia artificial
IP: 
				  José M. de la Rosa Utrera",,,"MEMVIS

Hardware memristivo neuromorfico para reconocimiento de visión
 
				  Teresa Serrano Gotarredona","DIGISOLAR F2 - AIR-CHIP

Chip digitalizador de radiofrecuencia gestionado por algoritmos de inteligencia artificial
IP: 
				  José M. de la Rosa Utrera",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=264
"MEMVIS

Hardware memristivo neuromorfico para reconocimiento de visión
IP: 
				  Teresa Serrano Gotarredona",,,"E-CELL

Optimización de los procesos de diferenciacion en celulas madre y tumorales basada en electroestimulación
 
				  Alberto Yúfera García","AIR-CHIP - MEMVIS

Hardware memristivo neuromorfico para reconocimiento de visión
IP: 
				  Teresa Serrano Gotarredona",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=248
"E-CELL

Optimización de los procesos de diferenciacion en celulas madre y tumorales basada en electroestimulación
IP: 
				  Alberto Yúfera García",,,"SMARTRANS

SMART integrated components for the development of intelligent vehicles and TRANSportation insfrastructure
 
				  Ricardo Carmona Galán","MEMVIS - E-CELL

Optimización de los procesos de diferenciacion en celulas madre y tumorales basada en electroestimulación
IP: 
				  Alberto Yúfera García",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=249
"SMARTRANS

SMART integrated components for the development of intelligent vehicles and TRANSportation insfrastructure
IP: 
				  Ricardo Carmona Galán",,,"AEROSKIN

Smart Skin for Airflow Sensing
 
				  Servando Espejo Meana","E-CELL - SMARTRANS

SMART integrated components for the development of intelligent vehicles and TRANSportation insfrastructure
IP: 
				  Ricardo Carmona Galán",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=222
"AEROSKIN

Smart Skin for Airflow Sensing
IP: 
				  Servando Espejo Meana",,,"HARDWALLET

Hardware de confianza y con seguridad post-cuántica para carteras de identidades descentralizadas que usan rasgos distintivos de personas y dispositivos
 
				  Iluminada Baturone Castillo / M. Rosario Arjona López","SMARTRANS - AEROSKIN

Smart Skin for Airflow Sensing
IP: 
				  Servando Espejo Meana",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=240
"HARDWALLET

Hardware de confianza y con seguridad post-cuántica para carteras de identidades descentralizadas que usan rasgos distintivos de personas y dispositivos
IP: 
				  Iluminada Baturone Castillo / M. Rosario Arjona López",,,"ULTIMATE

Plataforma embebida multi-sensorial inteligente para monitorización avanzada de la naturaleza
 
				  Jorge Fernández Berni / Ricardo Carmona Galán","AEROSKIN - HARDWALLET

Hardware de confianza y con seguridad post-cuántica para carteras de identidades descentralizadas que usan rasgos distintivos de personas y dispositivos
IP: 
				  Iluminada Baturone Castillo / M. Rosario Arjona López",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=226
"ULTIMATE

Plataforma embebida multi-sensorial inteligente para monitorización avanzada de la naturaleza
IP: 
				  Jorge Fernández Berni / Ricardo Carmona Galán",,,"LIFELINE

Variabilidad temporal en circuitos integrados: enemigo (y como combatirlo para la economia circular) y amigo (y como explotarlo para una solucion disruptiva en ciberseguridad)
 
				  Rafael Castro López / Francisco V. Fernández Fernández","HARDWALLET - ULTIMATE

Plataforma embebida multi-sensorial inteligente para monitorización avanzada de la naturaleza
IP: 
				  Jorge Fernández Berni / Ricardo Carmona Galán",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=214
"LIFELINE

Variabilidad temporal en circuitos integrados: enemigo (y como combatirlo para la economia circular) y amigo (y como explotarlo para una solucion disruptiva en ciberseguridad)
IP: 
				  Rafael Castro López / Francisco V. Fernández Fernández",,,"NANO-MEM

Cognición Nano-Memristiva y Percepción Neuromórficas para Actuación Robótica de Alta Velocidad
 
				  Teresa Serrano Gotarredona","ULTIMATE - LIFELINE

Variabilidad temporal en circuitos integrados: enemigo (y como combatirlo para la economia circular) y amigo (y como explotarlo para una solucion disruptiva en ciberseguridad)
IP: 
				  Rafael Castro López / Francisco V. Fernández Fernández",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=228
"NANO-MEM

Cognición Nano-Memristiva y Percepción Neuromórficas para Actuación Robótica de Alta Velocidad
IP: 
				  Teresa Serrano Gotarredona",,,"MIRABRAS

Implante milimétrico con inteligencia artificial integrada para asistencia en desórdenes neurológicos
 
				  Manuel Delgado Restituto","LIFELINE - NANO-MEM

Cognición Nano-Memristiva y Percepción Neuromórficas para Actuación Robótica de Alta Velocidad
IP: 
				  Teresa Serrano Gotarredona",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=229
"MIRABRAS

Implante milimétrico con inteligencia artificial integrada para asistencia en desórdenes neurológicos
IP: 
				  Manuel Delgado Restituto",,,"VIGILANT

The Variability Challenge in Nano-CMOS: From Device Modeling to IC Design for Mitigation and Exploitation
 
				  Francisco V. Fernández Fernández / Rafael Castro López","NANO-MEM - MIRABRAS

Implante milimétrico con inteligencia artificial integrada para asistencia en desórdenes neurológicos
IP: 
				  Manuel Delgado Restituto",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=203
"VIGILANT

The Variability Challenge in Nano-CMOS: From Device Modeling to IC Design for Mitigation and Exploitation
IP: 
				  Francisco V. Fernández Fernández / Rafael Castro López",,,"DIGISOLAR

Nuevo sensor solar digital asíncrono para aplicaciones NewSpace con arquitectura basada en eventos
 
				  Juan A. Leñero Bardallo","MIRABRAS - VIGILANT

The Variability Challenge in Nano-CMOS: From Device Modeling to IC Design for Mitigation and Exploitation
IP: 
				  Francisco V. Fernández Fernández / Rafael Castro López",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=205
"DIGISOLAR

Nuevo sensor solar digital asíncrono para aplicaciones NewSpace con arquitectura basada en eventos
IP: 
				  Juan A. Leñero Bardallo",,,"CORDION

Digitalizadores basados en Radio Cognitiva para nodos loT
 
				  José M. de la Rosa Utrera","VIGILANT - DIGISOLAR

Nuevo sensor solar digital asíncrono para aplicaciones NewSpace con arquitectura basada en eventos
IP: 
				  Juan A. Leñero Bardallo",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=204
"CORDION

Digitalizadores basados en Radio Cognitiva para nodos loT
IP: 
				  José M. de la Rosa Utrera",,,"MAS+CARA

Prueba de concepto de un esquema de reconocimiento facial descentralizado, que ofrece privacidad y seguridad post-cuántica
 
				  Iluminada Baturone Castillo","DIGISOLAR - CORDION

Digitalizadores basados en Radio Cognitiva para nodos loT
IP: 
				  José M. de la Rosa Utrera",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=231
"MAS+CARA

Prueba de concepto de un esquema de reconocimiento facial descentralizado, que ofrece privacidad y seguridad post-cuántica
IP: 
				  Iluminada Baturone Castillo",,,"ADQUISICIÓN  DE  EQUIPAMIENTO  CIENTÍFICO-TÉCNICO

Actualización  de  las  prestaciones  de  analisis  y  generación  de  señal  para  los  retos  del   proximo salto tecnológico en micro y nano-electrónica.
 
				  Bernabé Linares Barranco","CORDION - MAS+CARA

Prueba de concepto de un esquema de reconocimiento facial descentralizado, que ofrece privacidad y seguridad post-cuántica
IP: 
				  Iluminada Baturone Castillo",http://www.imse-cnm.csic.es/es/proyectos-ind.php?idproyecto=206
