section_id,title,url
inicio,INICIO,http://www.imse-cnm.csic.es/index.php
introducción,Introducción,http://www.imse-cnm.csic.es/es/introduccion.php
cómo_llegar,Cómo llegar,http://www.imse-cnm.csic.es/es/como-llegar.php
organización,Organización,http://www.imse-cnm.csic.es/es/organizacion.php
personal,Personal,http://www.imse-cnm.csic.es/es/personal.php
visitas_al_imse,Visitas al IMSE,http://www.imse-cnm.csic.es/es/visitas.php
el_imse_en_los_medios,El IMSE en los medios,http://www.imse-cnm.csic.es/es/medios.php
memoria_2020,Memoria 2020,http://www.imse-cnm.csic.es/es/memoria-2020.php
contacto,Contacto,http://www.imse-cnm.csic.es/es/contacto.php
laboratorios,Laboratorios,http://www.imse-cnm.csic.es/es/laboratorios.php
herramientas_cad,Herramientas CAD,http://www.imse-cnm.csic.es/es/herramientas-cad.php
catálogo_de_servicios_científico_técnicos,Catálogo de Servicios Científico-Técnicos,http://www.imse-cnm.csic.es/es/catalogo-servicios.php
copias_de_respaldo,Copias de respaldo,http://www.imse-cnm.csic.es/es/copias-respaldo.php
áreas_y_líneas_de_investigación,Áreas y Líneas de Investigación,http://www.imse-cnm.csic.es/es/areas-investigacion.php
proyectos,Proyectos,http://www.imse-cnm.csic.es/es/proyectos.php
publicaciones_del_imse,Publicaciones del IMSE,http://www.imse-cnm.csic.es/es/publicaciones.php
catálogo_de_ics,Catálogo de ICs,http://www.imse-cnm.csic.es/es/catalogo-chips.php
grupos_de_investigación,Grupos de Investigación,http://www.imse-cnm.csic.es/es/grupos-investigacion.php
formación_en_el_imse,Formación en el IMSE,http://www.imse-cnm.csic.es/es/formacion.php
empleo_en_el_imse,Empleo en el IMSE,http://www.imse-cnm.csic.es/es/empleo-imse.php
ofertas_de_acogidas_en_el_imse,Ofertas de Acogidas en el IMSE,http://www.imse-cnm.csic.es/es/ofertas-acogidas-imse.php
